hashkey,score,dict_str
b3c4a7306bd5e4351bdc57502a7663a8,0.5855416655540466,"{'1d_start': 4, 'opt': 'adam', 'layers': [[2, 2, 2, 2], [2, 1, 3, 2], [0, 2, 5, 3], [2, 0, 2, 3]]}"
12b1c319507f757ca6f9835952766a01,0.0,"{'1d_start': 4, 'opt': 'adam', 'layers': [[2, 0, 3, 2], [1, 2, 3, 3], [0, 1, 3, 2], [1, 1, 3, 2], [4, 0, 4, 0.5589606580190838]]}"
8db2dc0137a43d2830d13436a93c048c,0.6040416955947876,"{'1d_start': 4, 'opt': 'adam', 'layers': [[1, 0, 2, 3], [2, 1, 3, 2], [0, 1, 6, 2], [0, 0, 3, 2], [3, 2, 3, 0.3963417091156498], [4, 2, 5, 0.4126027451396755], [4, 1, 8, 0.41882066391298106], [4, 1, 4, 0.2152709747196412]]}"
d0deda2567db145dc4d761cf19ab6405,0.11081250011920929,"{'1d_start': 3, 'opt': 'SGD', 'layers': [[1, 2, 3, 2], [0, 1, 1, 3], [1, 2, 3, 4], [3, 0, 1, 0.6469937911770031], [3, 0, 2, 0.8194592272782729], [3, 1, 2, 0.639255356176587]]}"
b0bba89331edd102b2088740dc6aea36,0.7645208239555359,"{'1d_start': 4, 'opt': 'SGD', 'layers': [[0, 0, 2, 2], [1, 2, 2, 2], [0, 0, 5, 3], [0, 2, 3, 2], [4, 2, 4, 0.40360710537671857], [4, 1, 7, 0.35442866012278884]]}"
2d515b5d6b5c79a63a062db332608de5,0.7559375166893005,"{'1d_start': 3, 'opt': 'adam', 'layers': [[0, 2, 6, 2], [1, 2, 3, 3], [2, 1, 2, 3], [4, 1, 4, 0.5023710429780133], [4, 0, 4, 0.5589606580190838]]}"
7594e533b39464a0029f0338b83faff9,0.7317291498184204,"{'1d_start': 3, 'opt': 'adam', 'layers': [[0, 2, 6, 2], [1, 2, 3, 3], [1, 0, 2, 4], [4, 1, 4, 0.5023710429780133], [4, 0, 4, 0.5589606580190838]]}"
698f9d987d40bb3f0fdfd76cce479208,0.3969583213329315,"{'1d_start': 4, 'opt': 'SGD', 'layers': [[2, 0, 3, 3], [0, 0, 3, 4], [1, 1, 3, 2], [0, 2, 3, 2], [4, 2, 4, 0.40360710537671857]]}"
4ad857d0efb8275d32ba6a5a058e025d,0.6426666378974915,"{'1d_start': 4, 'opt': 'adam', 'layers': [[1, 0, 2, 3], [2, 1, 3, 2], [0, 1, 6, 2], [0, 0, 3, 2], [3, 2, 4, 0.5307732907290741], [4, 2, 5, 0.4126027451396755], [3, 1, 8, 0.4138434297840172], [4, 1, 4, 0.2152709747196412]]}"
72b10cecef03e43b44ddfe790bdd7a9c,0.22849999368190765,"{'1d_start': 4, 'opt': 'adam', 'layers': [[0, 2, 6, 2], [1, 2, 3, 3], [1, 0, 3, 4], [1, 1, 3, 2], [4, 0, 4, 0.5589606580190838]]}"
